HITS 40     oxDNA AND crossover AND "DNA origami" AND energy
   PMC13255533  2026   Tools For Building Artificial Biological Nanostructures.
   PMC12730752  2025   Comprehensive Review on DNA Hydrogels and DNA Origami-Enabled Wearable and Implantable Biosensors.
   PMC12669765  2025   PyFuRNAce: an integrated design engine for RNA origami.
   PMC11001925  2024   Mechanism of DNA origami folding elucidated by mesoscopic simulations.
   PMC13204131  2026   DNA Origami and Their Application in Biosensors.
   PMC11754647  2025   Generative design-enabled exploration of wireframe DNA origami nanostructures.
   PMC11735872  2025   Crystalline Assemblies of DNA Nanostructures and Their Functional Properties.
   PMC13042906  2026   Design and Characterization of DX-Tile DNA Nanostar-Based Hydrogels.
   PMC9245350   2022   Probing the Mechanical Properties of DNA Nanostructures with Metadynamics.
   PMC10395309  2023   Mechanics of dynamic and deformable DNA nanostructures.
   PMC9232119   2021   Design Approaches and Computational Tools for DNA Nanostructures.
   PMC10625641  2023   A computational model for structural dynamics and reconfiguration of DNA assemblies.
   PMC8501967   2021   Rapid prototyping of arbitrary 2D and 3D wireframe DNA origami.
   PMC10371787  2023   Reverse engineering DNA origami nanostructure designs from raw scaffold and staple sequence lists.
   PMC9122324   2022   Planar 2D wireframe DNA origami.
   PMC9808540   2022   The wending rhombus: Self-assembling 3D DNA crystals.
   PMC7276390   2020   <i>In silico</i> modelling of DNA nanostructures.
   PMC9479157   2022   Simulations of DNA-Origami Self-Assembly Reveal Design-Dependent Nucleation Barriers.
   PMC8071251   2021   The Art of Designing DNA Nanostructures with CAD Software.
   PMC8256390   2021   A Primer on the oxDNA Model of DNA: When to Use it, How to Simulate it and How to Interpret the Results.
   PMC9675025   2022   Mechanical deformation behaviors and structural properties of ligated DNA crystals.
   PMC7229852   2020   Global and local mechanical properties control endonuclease reactivity of a DNA origami nanostructure.
   PMC6379721   2019   Coarse-grained modelling of the structural properties of DNA origami.
   PMC9275100   2022   DNA Nanotechnology-Enabled Fabrication of Metal Nanomorphology.
   PMC7399560   2020   Chiral shape fluctuations and the origin of chirality in cholesteric phases of DNA origamis.
HITS 2      "DNA origami" AND "folding failure"
   PMC3957201   2012   Two design strategies for enhancement of multilayer-DNA-origami folding: underwinding for specific intercalato
   PMC2731887   2009   Rapid prototyping of 3D DNA-origami shapes with caDNAno.
HITS 37     "DNA origami" AND strained AND crossover
   PMC13255533  2026   Tools For Building Artificial Biological Nanostructures.
   -            2026   Programmable Edge-to-Edge Assembly of RNA Nanostructures
   PMC12899278  2026   Omega Nucleic Acids (ΩNA), Ultimate Nucleic Acids for Future Technology.
   PMC11550841  2024   DNA origami drives gene expression in a human cell culture system.
   PMC9788767   2022   Automated design of 3D DNA origami with non-rasterized 2D curvature.
   PMC11372452  2024   Doxorubicin-loaded DNA origami nanostructures: stability in vitreous and their uptake and toxicity in ocular c
   PMC10103138  2023   Recent Advances in DNA Origami-Engineered Nanomaterials and Applications.
   PMC11087804  2024   Engineering tertiary chirality in helical biopolymers.
   PMC11491555  2024   Progressive cancer targeting by programmable aptamer-tethered nanostructures.
   PMC9232119   2021   Design Approaches and Computational Tools for DNA Nanostructures.
   PMC10642627  2023   Pursuing excitonic energy transfer with programmable DNA-based optical breadboards.
   PMC11419732  2021   DNA Origami Design: A How-To Tutorial.
   PMC7145641   2019   Design and synthesis of pleated DNA origami nanotubes with adjustable diameters.
   -            2022   High-resolution structures and conformational dynamics of RNA origami during folding
   -            2019   Design and Synthesis of Pleated DNA Origami Nanotubes with Adjustable Diameters
   PMC7764255   2020   Mechanical Flexibility of DNA: A Quintessential Tool for DNA Nanotechnology.
   PMC10566746  2023   Structure, folding and flexibility of co-transcriptional RNA origami.
   PMC8461608   2021   Functional DNA-Polymer Conjugates.
   PMC12175961  2019   Force Generated by Two Kinesin Motors Depends on the Load Direction and Intermolecular Coupling.
   PMC9166708   2022   The influence of Holliday junction sequence and dynamics on DNA crystal self-assembly.
   PMC4082467   2014   Amyloid fibrils nucleated and organized by DNA origami constructions.
   PMC11278474  2024   Casimir Effect in MEMS: Materials, Geometries, and Metrologies-A Review.
   PMC4872871   2013   Design space for complex DNA structures.
   PMC3957201   2012   Two design strategies for enhancement of multilayer-DNA-origami folding: underwinding for specific intercalato
   PMC3726534   2012   Recent developments in single-molecule DNA mechanics.
HITS 85     "DNA origami" AND "melting temperature" AND crossover
   PMC13255533  2026   Tools For Building Artificial Biological Nanostructures.
   PMC12696799  2025   Unraveling the Folding Dynamics of DNA Origami Structures.
   PMC13014259  2026   Left-Handed Helices in DNA Nanotechnology.
   PMC12614193  2025   Controlled Reassociation of Multistranded, Polycrossover DNA Molecules into Double Helices.
   PMC12669765  2025   PyFuRNAce: an integrated design engine for RNA origami.
   PMC12143421  2025   Isothermal assembly of DNA nanostructures.
   PMC12120987  2025   Vertical DNA Nanostructure Arrays: Facilitating Functionalization on Macro-Scale Surfaces.
   PMC12899278  2026   Omega Nucleic Acids (ΩNA), Ultimate Nucleic Acids for Future Technology.
   PMC12822630  2026   Expanding DNA alphabet adds a previously unknown dimension to nanostructures.
   PMC13109936  2025   Counterions influence the isothermal self-assembly of DNA nanostructures.
   PMC11001925  2024   Mechanism of DNA origami folding elucidated by mesoscopic simulations.
   PMC12979619  2026   Advances and challenges in non-canonical nucleic acids data storage.
   PMC10809758  2024   Self-assembly of DNA parallel double-crossover motifs.
   PMC12120994  2025   Nanotubes Growth by Self-Assembly of DNA Strands at Room Temperature.
   PMC13042906  2026   Design and Characterization of DX-Tile DNA Nanostar-Based Hydrogels.
   PMC10538431  2023   Self-Assembly of DNA Nanostructures in Different Cations.
   PMC9479157   2022   Simulations of DNA-Origami Self-Assembly Reveal Design-Dependent Nucleation Barriers.
   PMC11110055  2024   Barium Concentration-Dependent Anomalous Electrophoresis of Synthetic DNA Motifs.
   PMC13284720  2026   Stable and programmable formation of DNA nanostructures via inter-strand crosslinking by assembly-triggered ox
   PMC12532283  2025   DNA Condensation-Inspired Assembly of DNA Nanotubes into Reversible Superstructures: A Base Pairing-Orthogonal
   PMC11372452  2024   Doxorubicin-loaded DNA origami nanostructures: stability in vitreous and their uptake and toxicity in ocular c
   PMC12315992  2025   Tunable and robust optical and structural properties of a cooperative squaraine-dye aggregate-DNA DX-DAE tile 
   PMC8945906   2022   DNA-Based Biosensors for the Biochemical Analysis: A Review.
   PMC9709946   2022   DNA-Based Molecular Machines.
   PMC10103138  2023   Recent Advances in DNA Origami-Engineered Nanomaterials and Applications.
HITS 0      "DNA origami" AND "off-register"
HITS 5      "DNA origami" AND "twist correction" AND yield
   PMC11475364  2022   Linker Engineering of Ligand-Decorated DNA Origami Nanostructures Affects Biological Activity.
   PMC8223477   2021   Cryo-Electron Microscopy and Mass Analysis of Oligolysine-Coated DNA Nanostructures.
   PMC7718922   2020   Revealing the structures of megadalton-scale DNA complexes with nucleotide resolution.
   -            2022   High-resolution structures and conformational dynamics of RNA origami during folding
   PMC10566746  2023   Structure, folding and flexibility of co-transcriptional RNA origami.
HITS 17     "staple crossover" AND yield AND DNA
   PMC12947688  2026   Uncovering Design and Assembly Rules for mRNA-DNA Origami.
   PMC12915191  2026   Bacteriophage-Mimetic DNA Origami Needle for Targeted Membrane Penetration and Cytosolic Cargo Delivery.
   PMC10371787  2023   Reverse engineering DNA origami nanostructure designs from raw scaffold and staple sequence lists.
   PMC9872083   2023   3D RNA-scaffolded wireframe origami.
