HITS 14     "DNA origami" AND "base pairs per turn" AND yield
   PMC9127610   2022   Direct visualization of floppy two-dimensional DNA origami using cryogenic electron microscopy.
   PMC7718922   2020   Revealing the structures of megadalton-scale DNA complexes with nucleotide resolution.
   PMC9869343   2023   Nucleic acid nanostructures for <i>in vivo</i> applications: The influence of morphology on biological fate.
   PMC9164479   2022   Interfacing DNA nanotechnology and biomimetic photonic complexes: advances and prospects in energy and biomedi
   PMC7603033   2020   Bottom-Up Self-Assembly Based on DNA Nanotechnology.
   PMC11419732  2021   DNA Origami Design: A How-To Tutorial.
   PMC8799870   2022   Pharmaceutical applications of framework nucleic acids.
   PMC7979912   2021   Robust nucleation control via crisscross polymerization of highly coordinated DNA slats.
   PMC5835357   2015   Electron Microscopic Visualization of Protein Assemblies on Flattened DNA Origami.
   PMC3843647   2012   Three-dimensional structures self-assembled from DNA bricks.
   PMC4767025   2016   DNA-based control of protein activity.
   PMC2731887   2009   Rapid prototyping of 3D DNA-origami shapes with caDNAno.
   PMC3328352   2011   DNA origami: a quantum leap for self-assembly of complex structures.
   PMC6214983   2018   Programming molecular topologies from single-stranded nucleic acids.
HITS 28     "DNA origami" AND insertions AND deletions AND twist AND yield
   PMC12704796  2025   From toroids to helical tubules: Kirigami-inspired programmable assembly of two-periodic curved crystals from 
   PMC11814417  2025   Fully addressable designer superstructures assembled from one single modular DNA origami.
   PMC10371787  2023   Reverse engineering DNA origami nanostructure designs from raw scaffold and staple sequence lists.
   PMC11999466  2025   DNA storage: The future direction for medical cold data storage.
   PMC8643692   2021   Modulating the chemo-mechanical response of structured DNA assemblies through binding molecules.
   PMC9706676   2022   Emerging Approaches to DNA Data Storage: Challenges and Prospects.
   PMC7718922   2020   Revealing the structures of megadalton-scale DNA complexes with nucleotide resolution.
   PMC7603033   2020   Bottom-Up Self-Assembly Based on DNA Nanotechnology.
   PMC9130510   2022   Integrating CRISPR/Cas systems with programmable DNA nanostructures for delivery and beyond.
   PMC6992424   2019   Custom-Size, Functional, and Durable DNA Origami with Design-Specific Scaffolds.
   PMC9232119   2021   Design Approaches and Computational Tools for DNA Nanostructures.
   PMC5924453   2018   Vesicle Tubulation with Self-Assembling DNA Nanosprings.
   PMC6679942   2019   Automated Sequence Design of 3D Polyhedral Wireframe DNA Origami with Honeycomb Edges.
